#OK
#SQL= SELECT                 
#	           MORF.* ,            
#	           SH.BlackHoleMass as MasaANegro ,                
#	           SH.BlackHoleMassAccretionRate as AcrecionMasaANegro ,                
#	           SH.Mass as Masa ,                
#	           SH.MassType_DM as MasaMateriaOscura ,            
#	           SH.MassType_Gas as MasaGas       
#	                      
#	       	                           
#	        FROM                 
#	           RecalL0025N0752_Morphokinem as MORF,                 
#	           RecalL0025N0752_Subhalo as SH                 
#	       	                           
#	        WHERE                 
#	           MORF.GalaxyID = SH.GalaxyID AND    
#	           MORF.DMEllipticity < 1
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1800 sec
#QUERYTIME 17 millisec
#COLUMN 1 name=GalaxyID JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=DMEllipticity JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 3 name=DiscToTotal JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 4 name=DispAnisotropy JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 5 name=Ellipticity JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 6 name=KappaCoRot JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 7 name=MedOrbitCircu JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 8 name=RotToDispRatio JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 9 name=Triaxiality JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 10 name=MasaANegro JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=AcrecionMasaANegro JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 12 name=Masa JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 13 name=MasaMateriaOscura JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=MasaGas JDBC_TYPE=7 JDBC_TYPENAME=real
GalaxyID,DMEllipticity,DiscToTotal,DispAnisotropy,Ellipticity,KappaCoRot,MedOrbitCircu,RotToDispRatio,Triaxiality,MasaANegro,AcrecionMasaANegro,Masa,MasaMateriaOscura,MasaGas
1,0.07881416118313611,0.40713978900718306,-0.06330399501307094,0.43317660097754307,0.30411141418415494,0.21791510153279095,0.5888151998171891,0.43475736447011015,3670768.8,3.386793E-5,1.39429577E11,1.28357564E11,8.3765552E7
2,0.14115086845045632,0.45540397013578027,0.0016069357965954323,0.4194418575486196,0.3541853068777756,0.260477842965525,0.7316657343093015,0.26345891923277237,3599950.0,7.31597E-9,1.32794966E11,1.2166434E11,1.27600848E8
3,0.21260189713746824,0.4947171208411709,0.047972205596559125,0.4290507323475813,0.38789562992127,0.3105566731992107,0.848138163395796,0.21089581822901327,3558926.5,3.8772018E-7,1.22170941E11,1.10975549E11,2.01059248E8
4,0.19453083963799633,0.4001068760843328,-0.23217451890708873,0.43591737769213323,0.26111867073700684,0.19435070012723712,0.5245062215512457,0.1979126388916081,3501025.5,1.8196057E-5,2.0399376E11,1.92370328E11,3.4641072E8
5,0.22110837478846934,0.0021029095221080096,-0.2734711525572815,0.4713208681569664,0.14222777645385312,0.01194960946415184,0.00190359071071751,0.040310453332101294,3331357.2,1.642653E-4,1.9141555E11,1.7937775E11,8.4363283E8
6,0.24307254165203662,0.1886542127069395,-0.17955189341659183,0.44761544093734784,0.21045125474426346,0.07785426105326988,0.1860235372118975,0.3144862712043965,2976699.5,9.0003704E-7,1.51063331E11,1.38421027E11,2.16946714E9
7,0.3355855347361052,0.43972802244261655,-0.24839833773468056,0.4054807301363227,0.2748705390874355,0.20586499651581155,0.5258432463928291,0.2536484192907611,2965977.8,4.8014922E-8,2.34519298E11,2.19688534E11,4.7078508E9
8,0.3622733943958599,0.5155763341538696,0.02527457445758463,0.36123460990013156,0.3924876888834857,0.3073785995679593,0.8345391196856949,0.19678504479839135,3083270.0,1.5243896E-6,3.25848891E11,3.08000719E11,8.2520668E9
9,0.361990793939168,0.4603353892148281,-0.29378437052182305,0.41274800630732134,0.2841291114545444,0.21566276368815396,0.5932924599354679,0.1696249284806182,2714422.0,1.381053E-5,3.06855248E11,2.871103E11,1.07768535E10
10,0.36063488538279587,0.4390120370746925,-0.08840610909773816,0.44558948514617436,0.31418133243957785,0.23407202461267848,0.6314945733057331,0.3030543863922535,2601908.2,4.3479406E-5,4.05441741E11,3.80288205E11,1.68047862E10
